Sector,mse
Greenhouse gas emissions from other fuel combustion,0.03858376170979906
Greenhouse gas emissions from bunker fuels,0.045543646606586656
Greenhouse gas emissions from waste,0.01914460994968879
Greenhouse gas emissions from buildings,0.037523048899626585
Greenhouse gas emissions from industry,0.022195043179933763
Fugitive emissions of greenhouse gases from energy production,0.02672686000753769
Greenhouse gas emissions from agriculture,0.03279801307330176
Greenhouse gas emissions from manufacturing and construction,0.036890099966365233
Greenhouse gas emissions from transport,0.02911810798023546
Greenhouse gas emissions from electricity and heat,0.03200977647345036
